ID	Kanton (Canton)	Ort (city)	Name (institution)	"Anstaltstypen: Arbeitsanstalt = 1; Arbeiterkolonie = 2; Erziehungsanstalt = 3; Trinkerheilanstalt = 4; Strafanstalt = 5; Psychiatrische Einrichtung = 6; Armenhaus = 7; Sonderanstalt = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Zweck 1933 (Quelle); purpose of the institution according to the source 1933 (Wild Albert)"	"Zweck 1939 (Quelle)
Z=Zuchthaus, G=Gefängnis, H=Haft, V=Verwahrung für Gewohnheitsverbrecher, A=Arbeitserziehungsanstalt, T=Trinkerheilanstalt); purpose of the institution according to the source 1939"	"Zweck/Spezifikation Pro Juventute 1944; purpose of the institution according to the source 1944"	"Zweck 1945 (Quelle)
ZH=Zuchthaus, G=Gefängnis, H=Haft, V=Verwahrung für Gewohnheitsverbrecher, A=Arbeitserziehungsanstalt, T=Trinkerheilanstalt); purpose of the institution according to the source 1945"	"Zweck 1954 (Quelle); purpose of the instititution according to the source 1954 (Schwarz Martin)"	"Trägerschaft (agencies, funded bodies): Staatlich (governmental) = 1; Privat (privately funded) = 2; gemischt (public-private mix) = 3; unbestimmbar (not specified) = 4"	Trägerschaft (agencies according to) Wild 1933	Trägerschaft (agencies according to) Pro Juventute 1944	Trägerschaft (agencies according to) Schwarz 1954	"Platzzahl (capacities): unter (below) 19 = 1; 20-49 = 2; 50-99 = 3; 100-149 = 4; 150-199 = 5; über (over) 200 = 6; unbestimmt (not specified) = 7"	Platzzahl (capacieties according to source) 1933 (Quelle) 	Platzzahl (capacities according to source) 1939 (Quelle)	Platzzahl (capacities according to source) Pro Juventute 1944 (Quelle)	Platzzahl (capacities according to source) 1945 (Quelle) 	Platzzahl (capacities according to source) 1954 (Quelle) 	"Geschlecht Insassen (gender ratio): m (male) = 1; w (female) = 2; gemischt (both gender) = 3; unbestimmt (not specified)= 4"	Geschlecht (gender ratio according to source) Wild 1933	Geschlecht (gender ratio according to source) 1939 (Quelle)	Geschlecht (gender ratio according to source) 1945 Quelle	Geschlecht  (gender ratio according to source) Pro Juventute 1944	Geschlecht (gender ratio according to source) Schwarz 1954	"Konfession (denomination): prot. (Protestants) = 1; kath. (Catholics) = 2; ik (interdenominational) = 3, unbestimmbar (not specified) = 4"	Konfession (denomination according to source) Wild 1933	Konfession (denomination according to source) Pro Juventute 1944	Konfession (denomination according to source) Schwarz 1954												
SO06	Solothurn	Dornach	Bezirksgefängnis Dornach	5					G, H		H, G bis 7 Tage	"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 8 Tagen"	1			1	1					12	3					3	3			3												
SO07	Solothurn	Olten	Bezirksgefängnis Olten	5					G, H		H, G bis 7 Tage	"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 8 Tagen"	1			1	1					14	3					3	3			3												
SO08	Solothurn	Solothurn	Untersuchungsgefängnis Solothurn	5					G, H		H, G bis 7 Tage	"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	2					30	3					3	3			3												
SZ01	Schwyz	Schwyz	Kantonale Zwangsarbeitsanstalt Kaltbach	1	5			"Gegründet 1902 durch den Kanton, um die Detinierten durch strenge Arbeit und bessere Zucht wieder an ein tätiges, ehrbares Leben zu gewöhnen. (…) In die Arbeitsanstalt können versetzt werden: a) bevormundete oder der elterlichen Gewalt unterworfene Personen, welche sich den Weisungen ihrer Eltern, Vormünder und Aufsichtsbehörden beharrlich widersetzen; b) Eltern, welche ihre Kinder böswillig verlassen oder sie durch müssiges, leichtsinniges, liederliches Leben in hilflosen Zustand versetzen und dadurch der Fürsorge der unterstützungspflichtigen Verwandten oder der Gemeinde anheimgeben, oder welche, wiewohl eine angemessene Beitragsleistung an die Unterstützungskosten in ihren Kräften läge, solche hartnäckig verweigern; c) Eltern oder Pflegeeltern, welche ihre Pflichten gegen ihre Kinder oder andere, unter ihrer Aufsicht stehende Personen in fortgesetzter Weise und nach vorgängiger Mahnung nicht erfüllen, diese vernachlässigen, zu Diebstahl, Frevel oder zum Bettel anhalten oder davon abzuhalten, unterlassen; d) Personen, welche sich fortgesetzt dem Müssiggange, der Trunkenheit oder auf andere Art einem liederlichen Lebenswandel ergeben, und infolgedessen arbeitslos und unterstützungsbedürftig werden oder öffentliches Ärgernis erregen; e) gewerbsmässige Bettler, sowie Landstreicher, welche der öffentlichen Wohltätigkeit zur Last fallen oder ihr anheimzufallen drohen."	G, A, ev. V		H, G bis 6 Mte. A, administrativ Versorgte	"Gefängnis;
administrative Versorgung;
Arbeitserziehung;
Zwangsarbeit"	1			1	3	80	75		70	60	3		3			3	3			3												
SZ02	Schwyz	Schwyz	Gefängnis im Rathaus des Kantons Schwyz	5					H			Untersuchungsgefängnis	1			1	1					17	3					3	3			3												
SZ03	Schwyz	Einsiedeln	Bezirksgefängnis Einsiedeln	5					H			"a) Untersuchungsgefängnis;
b) Vollzug kurzer Haft- und Gefängnisstrafen"	1			1	1					4	3					3	3			3												
SZ04	Schwyz	Freienbach	Bezirksgefängnis Höfe	5					H			"a) Untersuchungsgefängnis;
b) Vollzug von kurzen Haft- und Gefängnisstrafen"	1			1	7						3					3	3			3												
SZ05	Schwyz	Gersau	Bezirksgefängnis Gersau	5					H			"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					2	3					3	3			3												
SZ06	Schwyz	Küssnacht am Rigi	Bezirksgefängnis Küssnacht am Rigi	5					H			"a) Untersuchungsgefängnis;
b) Vollzug von kurzen Haft- und Gefängnisstrafen"	1			1	1					3	3					3	3			3												
SZ07	Schwyz	Lachen	Bezirksgefängnis der March	5					H			"a) Untersuchungsgefängnis;
b) Vollzug kurzer Haft- und Gefängnisstrafen"	1			1	1					7	3					3	3			3												
TG01	Thurgau	Hüttwilen	Arbeitserziehungsanstalt Kalchrain	1	3			Staatsanstalt. Arbeitsfähige, aber einem liederlichen, ausschweifenden oder arbeitsscheuen Lebenswandel sich ergebende und ihrer Heimatgemeinde zur Last fallende Personen zu strenger Arbeit anzuhalten und womöglich wieder an ein tätiges Leben zu gewöhnen. Die Anstalt zerfällt in zwei getrennte Abteilungen für Männer und Weiber.	A, H			"Gefängnis;
gerichtliche Verwahrung;
Arbeitserziehung;
Administrative Versorgungen"	1			1	4	120			120	120	3					3	3			3												
TG02	Thurgau	Herdern	Arbeiterkolonie Herdern	2								"Arbeitserziehungsanstalt;
Arbeiterkolonie;
Vom Kanton benutzte Anstalt für gerichtliche und administrative Einweisungen."	2	2		2	4	110				110	1					1	3	3		3												
TG03	Thurgau	Tobel	Straf- und Verwahrungsanstalt des Kantons Thurgau	5					Z, G, H		G, H, ZH	"Gefängnis;
Zuchthaus;
gerichtliche Verwahrung"	1			1	3				85	90	3					3	3			3												
TG04	Thurgau	Frauenfeld	Kantonalgefängnis Frauenfeld	5								"a) Untersuchungsgefängnis für kriminelle Strafuntersuchungen;
b) Vollzug kurzfristiger Gefängnisstrafen"	1			1	1					15	3					3	3			3												
TG05	Thurgau	Sirnach	Heil- und Pflegeanstalt Littenheid	6								"Heil- und Pflegeanstalt;
Vom Kanton benutzte Anstalt für die Internierung von Unzurechnungsfähigen nach Art. 14/15 StGB."	2			2	6					550	3					3	3			3												
TG09	Thurgau	Romanshorn	Bezirksgefängnis Arbon	5								"a) Untersuchungsgefängnis für korrektionelle Strafverfahren;
b) Vollzug kurzfristiger Haftstrafen"	1			1	2					20	3					3	3			3												
TG10	Thurgau	Bischofszell	Bezirksgefängnis Bischofszell	5								"a) Untersuchungsgefängnis für korrektionelle Strafverfahren;
b) Vollzug kurzfristiger Haftstrafen"	1			1	1					10	3					3	3			3												
TG11	Thurgau	Diessenhofen	Bezirksgefängnis Diessenhofen	5								"a) Untersuchungsgefängnis für korrektionelle Strafverfahren;
b) Vollzug kurzfristiger Haftstrafen"	1			1	1					4	3					3	3			3												
TG12	Thurgau	Frauenfeld	Bezirksgefängnis Frauenfeld	5								"a) Untersuchungsgefängnis für korrektionelle Strafverfahren;
b) Vollzug kurzfristiger Haftstrafen"	1			1	2					20	3					3	3			3												
TG13	Thurgau	Kreuzlingen	Bezirksgefängnis Kreuzlingen	5								"a) Untersuchungsgefängnis für korrektionelle Strafverfahren;
b) Vollzug kurzfristiger Haftstrafen"	1			1	1					18	3					3	3			3												
TG14	Thurgau	Münchwilen	Bezirksgefängnis Münchwilen	5								"a) Untersuchungsgefängnis für korrektionelle Strafverfahren;
b) Vollzug kurzfristiger Haftstrafen"	1			1	1					6	3					3	3			3												
TG15	Thurgau	Steckborn	Bezirksgefängnis Steckborn	5								"a) Untersuchungsgefängnis für korrektionelle Strafverfahren;
b) Vollzug kurzfristiger Haftstrafen"	1			1	1					10	3					3	3			3												
TG16	Thurgau	Weinfelden	Bezirksgefängnis Weinfelden	5								"a) Untersuchungsgefängnis für korrektionelle Strafverfahren;
b) Vollzug kurzfristiger Haftstrafen"	1			1	1					10	3					3	3			3												
TI01	Tessin	Mendrisio	Casa per intemperanti La Valetta	1	4			Casa per intemperanti La Valletta annessa al Manicomio Cantonale in Mendrisio. Fondata nel 1932 dallo Stato. Verranno ricoverati gli alcoolizzati e le persone che per le loro condizioni e la loro condotta devono subire una cura di educazione al lavoro.	A, T				1				3	70					3	3					4	2														
TI02	Tessin	Riva San Vitale	Instituto Discoli (Canisio)	3				Correzione e rieducazione die giovanetti di carattere difficile.		8–16 Jahre			4		"""?"""		3	90		90			1				1		2	2	2													
TI03	Tessin	Lugano	Penitenziario di Stato del Cantone Ticino	5					Z, G, H, ev. V			"Haftstrafen;
Gefängnis;
Zuchthaus;
gerichtliche Verwahrung"	1			1	4		100			100	3					3	3			3												
TI04	Tessin	Bellinzona	Carcere Pretoriale di Bellinzona	5					G, H			"a) Untersuchungsgefängnis;
b) Vollzug kurzer Haft- und Gefängnisstrafen"	1			1	1					18	3					3	3			3												
TI05	Tessin	Locarno	Carcere Pretoriale di Locarno	5					G, H			Untersuchungsgefängnis	1			1	1					12	3					3	3			3												
TI06	Tessin	Lugano	Carcere Pretoriale di Lugano	5					G, H			"Untersuchungsgefängnis;
Unterabteilung und im Gebäude des Penitenziario Cantonale Lugano"	1			1	1					12	3					3	3			3												
TI07	Tessin	Mendrisio	Carcere Pretoriale di Mendrisio	5					G, H			"a) Untersuchungsgefängnis;
b) Vollzug kurzfristiger Haft- und Gefängnisstrafen"	1			1	1					8	3					3	3			3												
UR01	Uri	Altdorf	Kantonale Strafanstalt Uri	5					Z, G, H, ev. V		ZH, G, H	"Untersuchungsgefängnis;
Haftgefängnis;
Gefängnis;
Zuchthaus"	1			1	2		32		34	32	3					3	3			3												
VD01	Waadt	Lausanne	Maison de la Suisse romande pour femmes victimes de la boisson Bethesda	4				Toute pensionnaire s'occupe selon ses forces et ses aptitudes aux travaux qui lui seront assignés par la directrice (réfection des matelas, travaux de couture ou du ménage).	T			"Verwahrung und Versorgung von Gewohnheitstrinkerinnen;
Heilstätte für alkoholkranke Frauen"	2	2		2	2	20				22	2					2	3	1		3												
VD02	Waadt	Rolle	Colonie pénitentiaire pour femmes La Prairie	1	3	4	5	"Reçoit: 1. les condamnés à la réclusion où à l'emprisonnement pour plus de 15 jours; 2. les alcooliques femmes soumises à l'internement par décision du Conseil d'Etat. (…) Reçoit des malades curables (alcooliques), soumis à l'internement par décision du Conseil d'Etat."	Z, G		ZH, G, V, A	"Gefängnis;
Zuchthaus;
Verwahrung;
Arbeitserziehung für Jugendliche;
Bewährung vor Strafentlassung"	1			1	2	50			23	30	2					2	3	3		3												
VD03	Waadt	Vennes	Maison d'Education de Vennes (Les Croisettes)	3						12–20 Jahre		Erziehung Jugendlicher	1		Staat	1	3			50		50	1				1	1	3		3	3												
VD04	Waadt	Bochuz/Orbe	Etablissements de la Plaine de l'Orbe	2	4	5		"La Colonie de l'Orbe: Reçoit les condamnés à l'internement et les condamnés à un emprisonnement pour plus de trois mois. Elle peut recevoir, à titre de colon volontaire, les détenus libérés qui manqueraient de travail et moyennant autorisation du Conseil d'Etat, des condamnés à l'internement d'autres cantons.
La Colonie de détention et d'internement de la plaine de l'Orbe: Elle reçoit aussi des colons volontaires, qui manqueraient de travail."	Z (Bochuz), V (Colonie d'Orbe), T (Près-Neufs)		Colonie: ZH, G	"Umfassend:
1. Strafanstalt Bochuz (Zuchthaus);
2. Kolonie Orbe: Gefängnis (gerichtliche Verwahrung, administrative Versorgung);
3. Asyl les Prés-Neufs (Gewohnheitstrinker);
Gefängnis;
Zuchthaus;
gerichtliche Verwahrung;
Arbeitserziehung;
Administrative Versorgung;
Nacherziehung Jugendlicher;
Internierung von Unzurechnungsfähigen;
Administrative Versorgung von Gewohnheitstrinkern"	1			1	6	>280			400	420	1					1	3	3		3												
VD05	Waadt	Vevey	"""Le Phare"""	3				Maison de rééducation pour jeunes filles.		von 14 Jahren an			2		Heilsarmee		2	48		48			2	2			2		2	2	2													
VD06	Waadt	Lausanne	Asile cantonal des aliénés au Bois-de-Cery près Lausanne	6				"L'asile est ouvert aux aliénés vaudois et étrangers, moyennant un prix détérminé dans chaque cas particulier. (…) L'admission d'un malade est faite par la Direction de l'asile. Conditions: 1. Une demande d'admission, écrite et signée par l'un des plus proches parents du malade (père, mère, frère ou soeur), ou par l'autorité municipale de son domicile ou de sa bourgeoisie, ou par toute autre personne autorisée: tuteur, curateur, etc.: Pour les étrangers au canton cette pièce doit être légalisée. 2. Une déclaration médicale détaillée, si possible sur le formulaire spécial qu'on peut se procurer à l'asile. 3. Son acte de naissance et son acte de marriage s'il est marié.
Kranke, Fürsorge für Geisteskranke."					1	st			6	600						3					3	3														
VD07	Waadt	Serix près Oron	Institut Romand d'Education	3						7–20 Jahre		"Erziehungsanstalt für Knaben;
Nacherziehung männlicher Jugendlicher"	2		Comité	2	3			70–76		56	1				1	1	4	1	1	3												
VD08	Waadt	Chailly sur Lausanne	Ley Mayoresses	3						"Foyer pour apprentis Les Mayoresses; 14–19 Jahre"			1		Société de tutelle publique		2			25			2				2		1		1													
VD09	Waadt	Grandson	"Maison d'éducation pour jeunes filles arriérés ""Les Muriers"""	3				"Rééducation des jeunes filles arriérées; Nachschulpflichtige (Eintrittsalter bis 20 Jahre)."					4				2	52					3	3					1	1														
VD12	Waadt	Aigle	Prison de District Aigle	5								"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 6 Monaten"	1			1	2					20	3					3	3			3												
VD13	Waadt	Aubonne	Prison des districts de Rolle et Aubonne	5								"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 2 Monaten"	1			1	1					14	3					3	3			3												
VD14	Waadt	Avenches	Prison de District Avenches	5								"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 2 Monaten"	1			1	1					12	3					3	3			3												
VD15	Waadt	Château d'Oex	Prison de District Château d'Oex	5								"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen"	1			1	1					7	3					3	3			3												
VD16	Waadt	Cossonay	Prison de District Cossonay	5								"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 3 Monaten"	1			1	1					15	3					3	3			3												
VD17	Waadt	Echallens	Prison de District Echallens	5								"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 3 Monaten"	1			1	1					3	3					3	3			3												
VD18	Waadt	Lausanne	Prison de District Lausanne Bois-Mermet	5								"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	4					100	3					3	3			3												
VD19	Waadt	Lausanne	Prison de District Lausanne, Salles d'Arrêts	5								"a) Vollzug von Haft- und Polizeistrafen Jugendlicher;
b) Militärarreste;
c) Internierung von Gewohnheitstrinkern"	1			1	7						3					3	3			3												
VD20	Waadt	Le Sentier	Prison de District La Vallée	5								"a) Untersuchungsgefängnis;
b) Vollzug kurzer Haft- und Gefängnisstrafen"	1			1	7						3					3	3			3												
VD21	Waadt	Morges	Prison de District Morges	5								"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 3 Monaten"	1			1	2					22	3					3	3			3												
VD22	Waadt	Moudon	Prison de District Moudon	5								"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					18	3					3	3			3												
VD23	Waadt	Nyon	Prison de District Nyon	5								"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	2					23	3					3	3			3												
VD24	Waadt	Orbe	Prison du District d'Orbe	5								"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					12	3					3	3			3												
VD25	Waadt	Ste. Croix	Prison de District Ste. Croix	5								"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					3	3					3	3			3												
VD26	Waadt	Vevey	Prison de District Vevey	5								"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	2					40	3					3	3			3												
VD27	Waadt	Yverdon	Prison de District Yverdon	5								"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 3 Monaten"	1			1	2					25	3					3	3			3												
VS01	Wallis	Granges	Pénitencier de Crêtelongue	5					Z, G, H, ev. V			"Gefängnis;
Zuchthaus;
gerichtliche Verwahrung;
administrative Versorgung;
Arbeitserziehung"	1			1	3		88		60	65	1		3	1		1	3			3												
VS03	Wallis	Sion	Pénitencier Cantonal Sion	5					Z, G, H, ev. V		ZH, G	"Gefängnis;
Zuchthaus"	1			1	3				60	40	3					1	3			3												
VS04	Wallis	Sion	Maison Blanche Sion	4								"Trinkerheilanstalt für Männer;
Vom Kanton benutzte Anstalt für die Internierung von Gewohnheitstrinkern"	2			2	2					22	1					1	3			3												
VS05	Wallis	Monthey	Maison de Santé de Malévoz à Monthey	6				But: traitement des affections nerveuses et mentales. (…) Conditions d'admission: un certificat médical, constatant la nécessité de la mise en traitement, est nécessaire pour les malades mentaux, à moins que ces derniers ne viennent de leur plein gré. Un grand nombre des malades sont reçus sur simple demande téléphonique, mais à l'admission, la famille, ou l'autorité qui demande le placement doivent signer und demande écrite, ainsi qu'une déclaration garantissant le paiement des frais.					1	1			6	250					3	3					3	2		3												
VS06	Wallis	Brig	Prison de District Brigue	5								"a) Untersuchungshaft für Männer und soweit möglich auch für Frauen;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 5 Tagen"	1			1	7						3					3	3			3												
VS07	Wallis	Martigny	Prison préventive pour Femmes	5								Untersuchungsgefängnis für Frauen	1			1	7						3						3			3												
VS09	Wallis	Sion	Prison préventive de Sion	5								Untersuchungsgefängnis	1			1	1					10	3					3	3			3												
ZG01	Zug	Zug	Strafanstalt Zug	5				Strafvollzug für Arbeitshaus- und Gefängnisstrafen. Zuchthausstrafen werden in der Strafanstalt St. Gallen oder im Saxerried verbüsst. Ausnahmsweise können Korrektionsgefangene durch Regierungsratsbeschluss aufgenommen werden.	H, G		H, G	"a) Untersuchungsgefängnis;
b) Vollzug von Haftstrafen;
c) Vollzug von Gefängnisstrafen"	1			1	2	40			36	40	3					3				3												
ZG02	Zug	Oberwil	Nervenheilanstalt St. Franziskusheim	6								"Heil- und Pflegeanstalt;
Vom Kanton benutzte Anstalt für die Internierung von Unzurechenfähigen nach Art. 14/15 StGB."	2			2	5					200	1					1				3												
ZH01	Zürich	Uitikon am Albis	Kantonale Arbeitserziehungsanstalt Uitikon	1	3			Erziehung jüngerer Verwahrloster und Verbrecher.	A	Die Anstalt gehört nur bedingt in die Kategorie der Erziehungsanstalten für Jugendliche (Eintrittsalter: 18–23 Jahre, nur ausnahmsweise darunter). Viele haben bereits beim Eintritt eine Berufsausbildung hinter sich.	ger., adm., A.	"Arbeitserziehungsanstalt für männliche Jugendliche;
Administrative Einweisungen"	1		staatlich	1	3	56			80	80	1				1	1	3	3	3	3												
ZH02	Zürich	Kappel am Albis	Anstalt Kappel am Albis	1	7			Zwei (getrennte) Abteilungen: a) die Pflegeabteilung mit dem Zwecke, hilfsbedürftige Personen zur Verpflegung und Besorgung anzunehmen, und b) die Bewahrungsabteilung mit dem Zwecke, arbeitsfähige, aber arbeitsscheue und liederliche Personen durch angemessene Arbeit und bessernde Zucht an ein tätiges Leben zu gewöhnen und moralisch zu heben.	A			Verwahrung von Männern und Frauen	2			2	2				35	28	3					3	3			3												
ZH03	Zürich	Ellikon an der Thur	Heilstätte Ellikon an der Thur	4				Gegründet 1888 durch den Verein zur Heilung von Gewohnheitstrinkern. (…) Raum für 40 Pfleglinge, die mit Feld- und Gartenarbeit und Hausindustrie in Werkstätten beschäftigt werden. Die Heilstätte wird in positiv-protestantischem Sinne geleitet.	T			"Heilstätte für alkoholkranke Männer;
Versorgung von Gewohnheitstrinkern"	2			2	2	40			40	40	1					1		1		interkonfessionell, Leitung reformiert												
ZH04	Zürich	Regensdorf	Kantonale Straf- und Verwahrungsanstalt Regensdorf	5				Abteilung für Korrektionsgefangene: Gemäss Gesetz über die Versorgung von Jugendlichen, Verwahrlosten und Gewohnheitstrinkern vom 24. mai 1925 kann die katn. Strafanstalt in Regensdorf als Verwahrungsanstalt für mehrfach rückfällige oder gefährliche Verbrecher benützt werden. Zweck der Versorgung ist, die Gesellscahft vor gefährlichen Verbrecher und unverbesserlichen Personen zu schützen und die Insassen durch nützlcihe Arbeit zu zweingen, die Kosten des Lebensunterhaltes zu verdienen. Dauer der Versorgung: 2-5 Jahre.	Z, G, V		ZH, G, V, A	"Gefängnis;
Zuchthaus;
Verwahrung;
getrennte Abteilung für Verwahrte"	1				6	350	350		360	310	3					3	3			3												
ZH05	Zürich	Baltenswil	Landheim Brüttisellen	3				Erziehung schwererziehbarer Knaben im Alter von 15-18 Jahren.		15–18 Jahre		"Nacherziehung männlicher Jugendlicher;
Vom Kanton benutzte Anstalt für die Nacherziehung männlicher Jugendlicher nach StGB;
Möglichkeit, eine Berufslehre als Gemüse- oder Blumengärtner zu absolvieren"	2		Stiftung C. Appenzeller	2	2	30		30		40	1				1	1	3	1	3	interkonfessionell, Leitung reformiert												
ZH06	Zürich	Tagelswangen	C. Appenzellersche Anstalt für Mädchen	3				"Erziehung schwererziehbarer Mädchen; Nachschulpflichtige (Eintrittsalter bis 20 Jahre)."		15–18 Jahre			2		Stiftung C. Appenzeller		2	48		48			2	2			2		1	1	1													
ZH07	Zürich	Aeugsterthal	Schweizerische Heilstätte für alkoholkranke Männer Götschihof	4					T			"Heilstätte für Trinker;
Verwahrung von Gewohnheitstrinkern"	2	2		2	2	40				50	1					1		1		3												
ZH08	Zürich	Ringwil-Hinwil	Arbeiterkolonie Ringwil	2	5			Erziehung schwererziehbarer Knaben .			ger. V., adm. V.	"Verwahrungsanstalt;
Bewährungsstation für Zöglinge aus der Verwahrungsabteilung der Strafanstalt Regensdorf"	1			1	2	28			45	45	1					1	3			3												
ZH11	Zürich	Zürich	Schenkung Dapples	3				Erziehung von Psychopathen und Schwererziehbaren.		"für Schwererziehbare, die eine Berufslehre machen sollen; 15–20 Jahre"		Erziehungsanstalt für männliche Jugendliche	2		Schenkung	2	2	38		35		25	1				1	1	1	1	1	1												
ZH12	Zürich	Affoltern am Albis	Bezirksgefängnis Affoltern	5					H, G		UH, H, G bis 6 Mte.	"Untersuchungsgefängnis;
Vollzug von Haft- und Gefängnisstrafen"	1			1	1					15	3					3				3												
ZH13	Zürich	Andelfingen	Bezirksgefängnis Andelfingen	5					H, G		UH, H, G bis 6 Mte.	"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 6 Monaten"	1			1	1					16	3					3				3												
ZH14	Zürich	Bülach	Bezirksgefängnis Bülach	5					H, G		UH, H, G bis 6 Mte.	"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 6 Monaten"	1			1	1					16	3					3				3												
ZH15	Zürich	Dielsdorf	Bezirksgefängnis Dielsdorf	5					H, G		UH, H, G bis 6 Mte.	"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 6 Monaten"	1			1	1					12	3					3				3												
ZH16	Zürich	Hinwil	Bezirksgefängnis Hinwil	5					H, G		UH, H, G bis 6 Mte.	"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 6 Monaten"	1			1	1					18	3					3				3												
ZH17	Zürich	Horgen	Bezirksgefängnis Horgen	5					H, G		UH, H, G bis 6 Mte.	"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 6 Monaten"	1			1	2					25	3					3				3												
ZH18	Zürich	Meilen	Bezirksgefängnis Meilen	5					H, G		UH, H, G bis 6 Mte.	"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 6 Monaten"	1			1	2					21	3					3				3												
ZH19	Zürich	Pfäffikon	Bezirksgefängnis Pfäffikon	5					H, G		UH, H, G bis 6 Mte.	"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 6 Monaten"	1			1	1					15	3					3				3												
ZH20	Zürich	Uster	Bezirksgefängnis Uster	5					H, G		UH, H, G bis 6 Mte.	"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 6 Monaten"	1			1	2					40	3					3				3												
ZH21	Zürich	Winterthur	Bezirksgefängnis Winterthur	5					H, G		UH, H, G bis 6 Mte.	"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 6 Monaten"	1			1	2					30	3					3				3												
ZH22	Zürich	Zürich	Bezirksgefängnis Zürich	5					H, G		UH, H, G bis 6 Mte.	Untersuchungsgefängnis	1			1	4		100		100	100	3					3				3												
ZH23	Zürich	Hausen am Albis	Landerziehungsheim Albisbrunnen	3				Erziehungsanstalt für Schwererziehbare (körperlich und seelisch Gehemmte, Berufsunentschiedene).		"für Schwererziehbare, körperlich und seelisch Gehemmte, Berufsunentschiedene; 6–20 Jahre"		"Erziehungsanstalt für Knaben und männliche Jugendliche, bzw. Minderjährige;
Beobachtungsstation;
Vom Kanton benutzte Anstalt für die Nacherziehung männlicher Jugendlicher;
Getrennte Abteilungen im Gruppensystem, sogenannte Familiengruppen"	2		Stiftung Albisbrunn	2	4	75		100		100	1					1	3	3	3	3												
