ID	Kanton (Canton)	Ort (city)	Anstalt (institution)	aufgeführte, alternative Bezeichnungen (alternative notations)	"Anstaltszweck (Quelle)
(purpos of the institution according to the source)"	"Anstaltstypen: Arbeitsanstalt = 1; Arbeiterkolonie = 2; Erziehungsanstalt = 3; Trinkerheilanstalt = 4; Strafanstalt = 5; Psychiatrische Einrichtung = 6; Armenhaus = 7; Sonderanstalt = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	Offenheit Code	DummyOffen	DummyHalboffen	DummyGeschlossen	Spezifikation Typologie (Quelle) (categories according to source)	Trägerschaft (agencies, funding bodies)	Spezifikation Inhaber (Quelle) (specifications of the agencies according to source)	Platzzahl (Quelle) (capacities according to source)	Platz (capacities)	Plätze Männer (Quelle) (capacities for the male gender according to source)	Plätze Frauen (Quelle) (capacities for the female gender according to the source)	"Geschlecht (gender ratio): m (male) = 1; w (female) = 2; gemischt (both gender) = 3; unbestimmt (not specified) = 4"	Bemerkungen Plätze (Quelle)	DummyMänner	DummyFrauen	Aufenthaltsbedingungen (Quelle) (terms of detention e.g. duration of stay/juridic coverage according to source)	Einweisende Behörden: 1 = Gerichte, 2 = Untersuchungsrichter, 3 = Staatsanwaltschaft, 4 = Jugendanwaltschaft, 5 = Regierungsrat, 6 = Administrativbehörde, 7 = Justizbehörde/Strafvollzugsbehörde, 8 = Polizeibehörde/Verhöramt, 9 = Armenbehörde/Fürsorgebehörde, 10 = Vormundschaftsbehörde, 11 = Bezirksämter/Statthalteramt, 12 = Amtsvormundschaft, 13 = Jugendämter, 14 = Private/Vereine/Kirchen- und Schulbehörden	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Konfession (Quelle) (denomination according to source)	"Konfession (denomination): prot. (Protestants) = 1; kath. (Catholics) = 2; ik. (interdenominational) = 3; unbestimmt (not specified) = 4"	Seelsorge (Quelle) (pastoral care according to source)	Gottesdienste (church services according to source)
FR03	FR	Lully	Institut Bon Pasteur		"Nacherziehung gefährdeter und schwererziehbarer katholischer Mädchen;
Von verschiedenen Kantonen benutzte Anstalt für die Internierung weiblicher Jugendlicher nach Art. 9 StGB."	3				#REF!	0	0	1	Private, geschlossene Anstalt	2	Inhaber: S. I. du Château de Lully SA, Lully près Estavayer-le-Lac	26	2		26	2	nur weibliche Jugendliche	0	1	"Minimal 1 Jahr, maximal 3 Jahre;
Aufnahmealter minimal 14 Jahre, maximal 22 Jahre
Eingewiesene nach StGB werden von den andern Insassinnen nicht getrennt gehalten."	1	9	10				Jugendgerichte	Vormundschaftsbehörden	Fürsorgeämter	weitere										Katholisch	2	Katholischer Anstaltspfarrer im Hauptamt	"Im Hause;
Besuch obligatorisch;
3 mal wöchentlich und an Sonntagen"
FR04	FR	Villars-les-Joncs	Institut Bon Pasteur		Erziehungsanstalt für weibliche Jugendliche	3				#REF!	1	0	0	Private, offene Anstalt	2			7			2	keine Angaben	0	1	Nach Einweisungsverfügung	13						Office Cantonal des Mineurs													"Katholisch;
Leitung durch Ordensschwestern"	2	Katholischer Ortspfarrer im Nebenamt	
FR07	FR	Drognens	Institut St. Nicolas		"Erziehung unter Aufsicht nach Art. 84 StGB;
Erziehungsanstalt nach Art. 91 StGB für katholische, männliche Jugendliche;"	3				#REF!	1	0	0	Staatliche, offene Anstalt	1	Führung durch Révérends Pères de la Congrégation du Divin Saveur		7			1	keine Angaben	1	0	"Nach Einweisungsverfügung;
nur katholische Jugendliche;
Aufnahmealter minimal 15 Jahre, maximal 22 Jahre"	10	13					Office Cantonal des Mineurs	Vormundschaftsbehörden												Katholisch	2	Révérends Pères de la Congrégation du Divin Saveur	
FR10	FR	Fribourg	Prison Centrale de Fribourg		"Untersuchungsgefängnis;
Polizeigefängnis;
Haftgefängnis;
Vollzug von Gefängnisstrafen bis zu 1 Monat für Männer und bis zu 2 Monaten für Frauen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		40	2			3	Männer und Frauen	1	1	"Untersuchungsgefangene: nach Verfahren;
Strafvollzug: maximal 1 Monat für Männer, maximal 2 Monate für Frauen"	1	3	7	8			Staatsanwaltschaft	Polizeirichter	Strafgericht	Strafvollzugsbehörde	Direktion der Polizei Fribourg									Interkonfessionell	3	"Reformierter deutscher Ortspfarrer;
reformierter französischer Ortspfarrer;
Kapuzinerpater aus dem Kapuzinerkloster Fribourg, alle im Nebenamt"	"Im Hause;
Besuch freiwillig;
Katholiken: jeden Sonntag;
Reformierte: nach Möglichkeit"
FR11	FR	Bulle	Prison de District de la Gruyère		"a) Untersuchungsgefängnis;
b) Vollzug von Polizei-, Haft- und Gefängnisstrafen bis zu 1 Monat"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		18	1			3	Männer und Frauen	1	1	"a) nach Verfügung;
b) maximal 1 Monat"	2						Juge d'instruction du district													Interkonfessionell	3	"Pater aus Kapuzinerkloster Fribourg;
reformierter Ortspfarrer, beide nebenamtlich"	Keine
FR12	FR	Châtel St. Denis	Prison du District de la Veveyse		"a) Untersuchungsgefängnis;
b) Vollzug von Polizei-, Haft- und Gefängnisstrafen bis zu 1 Monat"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		10	1			3	Männer und Frauen	1	1	"a) nach Verfügung des Untersuchungsrichter;
b) maximal 1 Monat"	2						Juge d'instruction du district													Interkonfessionell	3	Keine	
FR13	FR	Estavayer-le-Lac	Prison du District de la Broye		"a) Untersuchungsgefängnis;
b) Vollzug von Polizei-, Haft- und Gefängnisstrafen bis zu 1 Monat"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		10	1			3	Männer und Frauen	1	1	"a) nach Verfügung des Untersuchungsrichter;
b) maximal 1 Monat"	2						Juge d'instruction du district de la Broye													Interkonfessionell	3	Katholischer und reformierter Ortspfarrer im Nebenamt	Auf Wunsch begleiteter Gottesdienstbesuch in der Ortskirche
FR14	FR	Murten	Prison de District du Lac		"a) Untersuchungsgefängnis;
b) Vollzug von Polizei-, Haft- und Gefängnisstrafen bis zu 1 Monat"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		11	1			3	Männer und Frauen	1	1	"a) nach Verfügung des Untersuchungsrichter;
b) maximal 1 Monat"	2						Untersuchungsrichteramt Murten													Interkonfessionell	3	Katholischer und reformierter Ortspfarrer im Nebenamt	Keine Gottesdienstmöglichkeit
FR15	FR	Romont	Prison de District de la Glâne		"a) Untersuchungsgefängnis;
b) Vollzug von Polizei-, Haft- und Gefängnisstrafen bis zu 1 Monat"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		11	1			3	Männer und Frauen	1	1	"a) nach Verfügung des Untersuchungsrichter;
b) maximal 1 Monat"	2						Juge d'instruction du district, Romont													Interkonfessionell	3	Keine	
FR16	FR	Tavel	Prison de District de la Singie		"Untersuchungsgefängnis;
Polizeigefängnis;
Haftgefängnis;
Vollzug von Gefängnisstrafen bis zu 1 Monat"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		12	1			3	Männer und Frauen	1	1	"Untersuchungsgefangene: nach Verfahren;
Strafvollzug: maximal 1 Monat "	11						Préferet du District de la Singine, Tavel													Interkonfessionell	3	Keine	
GE01	GE	Genf	Clinique Psychiatrique de Bel-Air		"Heil- und Pflegeanstalt;
Vom Kanton benutzte Anstalt für die Internierung von Unzurechnungsfähigen nach Art. 14/15 StGB."	6				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		550	6			3		1	1	"Nach Einweisungsverfügung resp. nach ärztlicher Vorschrift;
Bei den Internierten nach StGB handelt es sich meistens um solche zur Beobachtung."	1	3	5				Gerichte	Staatsanwalt	Regierungsrat											Interkonfessionell	3	"Reformierter und katholischer Anstaltspfarrer im Hauptamt;
reformierter Pfarrer von Vandoeuvres im Nebenamt"	Für Internierte nach StGB keine
GE05	GE	Genf	Prison de Saint-Antoine		"a) Untersuchungsgefängnis;
b) Vollzug von Polizei-, Haft- und Gefängnisstrafen bis zu 6 Monaten"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		120	4			3	Männer und Frauen	1	1	"a) ohne Limite, nach Verfügung;
b) maximal 6 Monate"	1	2	7	8			Untersuchungsrichteramt	Polizeirichter	Polizeirichteramt	Strafgericht	Strafvollzugsbehörde									Interkonfessionell	3	Reformierter und katholischer Ortspfarrer im Nebenamt	"Im Hause, Besuch freiwillig;
Reformierte: alle 2 Wochen, Katholiken: nach Möglichkeit;
ausserdem Sonntags Zusammenkünfte"
GE07	GE	Choully	Foyer pour adolescents Les Ormeaux		Erziehungs- und Beobachtungsanstalt für Jugendliche und Minderjährige	3				#REF!	1	0	0	Private, offene	2	Inhaber: Comité des Ormeaux, Choully	50	3			4				"Minimal 1 Jahr, für Beobachtung 3 Monate;
Aufnahmealter minimal 12 Jahre, maximal 20 Jahre"	4	10	12				Chambre pénale de L'enfant	Tuteur général de Genève	Chambre des tutelles Genève	Hospice général du Canton de Genève										Reformiert	1	Wöchentlicher Religionsunterricht im Heim durch hauptamtlichen Religionslehrer	Freiwilliger Kirchgang in die Stadtkirchen jeden Sonntag
GL01	GL	Glarus	Untersuchungsgefängnis im Rathaus		"a) Untersuchungsgefängnis;
b) Vollzug von Freiheitsstrafen bis 2 Monaten"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1			7			3	einige wenige Zellen	1	1	"a) ohne Limite;
b) maximal 2 Jahre"	1	2	7	8			Untersuchungsrichter	Polizeigerichtspräsident	Strafvollzugsbehörde											Interkonfessionell	3	Reformierter und katholischer Ortspfarrer im Nebenamt	Keine Gottesdienstmöglichkeit
GR01	GR	Realta-Cazis	Arbeitserziehungsanstalt und Kolonie Realta		"a) Arbeitserziehungsanstalt;
b) Kolonie für Lebensuntüchtige"	1	2	3		#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		90	3			4	"40 für Arbeitszöglinge;
50 für Kolonisten"			Minimal 1 Monat	1	6	7	10			Kantonsgericht	Strafvollzugsbehörden	Gemeinden	Vormundschaftsbehörden										Interkonfessionell	3	"Reformierter Anstaltspfarrer im Hauptamt;
katholischer Pfarrer aus Cazis im Nebenamt"	"In der Heil- und Pflegeanstalt Realta;
Besuch freiwillig;
jeden Sonntag für Reformierte und Katholiken"
GR03	GR	Chur	Kantonale Strafanstalt Sennhof		"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 3 Monaten"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		35	2			3		1	1	"a) ohne Limite, nach Verfahren;
b) maximal 3 Monate"	1	2	6	8			Untersuchungsrichteramt	Kantonsgericht	Kreisämter	Bezirksgerichte anderer Kantone	Polizeigerichte									Interkonfessionell	3	"Reformierter Anstaltspfarrer im Hauptamt;
katholischer Ortspfarrer im Nebenamt"	"Reformierte: jeden Sonntag;
Katholiken: alle 14 Tage"
LU01	LU	Emmenbrücke	Anstalt Sedelhof		"Gefängnis;
Zuchthaus;
administrative Versorgung;
Verwahrung nach Art. 42 StGB (Ausnahmen);
Verwahrung Unzurechenfähiger nach Art. 14 StGB."	1	5			#REF!					4		100	4	100		1		1	0	"Gefängnis bis 2 Jahre;
andere Kategorien ohne Limite"	7	10					Vormundschaftsbehörde	Justizepartement als Strafvollzugsbehörde												"Interkonfessionell;
Leitung katholisch"	3	"Kapuzinerpater aus dem Kapuzinerkloster Luzern;
reformierter Pfarrer aus Malters, beide im Nebenamt"	"Im Hause;
Besuch obligatorisch für Reformierte und Katholiken;
Katholiken: jeden Sonntag;
Reformierte: alle 14 Tage"
LU02	LU	Wauwil	Straf- und Verwahrungsanstalt Wauwilermoss		"Gefängnis;
Zuchthaus;
Verwahrung"	5				#REF!	1	0	0	Staatliche, offene Anstalt	1		68	3	68		1		1	0	Minimal 6 Monate bis lebenslänglich	7						Strafvollzugsbehörde Luzern	Strafvollzugsbehörde Obwalden	Strafvollzugsbehörde Schwyz	Strafvollzugsbehörde Zug										Interkonfessionell	3	"Kapuziner aus dem Kapuzinerkloster Luzern;
reformierter Pfarrer aus Willisau, beide im Nebenamt"	"Im Hause, Besuch obligatorisch;
Katholiken: jeden Sonntag;
Reformierte: alle 14 Tage;
ausserdem für beide Konfessionen Wochenzusammenkünfte"
LU03	LU	Rathausen	Kinderdörfli Rathausen		"Erziehung gefährdeter und milieugeschädigter Kinder und Jugendlicher;
Vom Kanton und verschiedenen Behörden benutzte Anstalt für die Internierung Jugendlicher beiderlei Geschlechts nach StGB."	3				#REF!	1	1	0	Private, geschlossene/halboffene Anstalt	2	Inhaber: Stiftung Erziehungsheim Rathausen	150	5			3	für beide Geschlechter	1	1	"Gemäss behördlicher Vorschrift, jedoch nicht unter 1 Jahr;
Aufnahmealter minimal 4 Jahre, maximal 16 Jahre;
Insassen nach StGB von den andern nicht getrennt gehalten;
Es werden nur Katholiken aufgenommen."	4	9					Fürsorgebehörden	Jugendanwaltschaften												Katholisch	2	Durch Heimleiter	"Im Heim, Besuch obligatorisch;
täglich"
LU04	LU	Knutwil	Erziehungsheim St. Georg	Erziehungsanstalt St. Georg	"Nacherziehung schwererziehbarer Knaben und männlicher Jugendlicher;
Von verschiedenen Kantonen benutzte Anstalt für die Internierung von männlichen Jugendlichen nach StGB"	3				#REF!	1	1	0	Private, halboffene/offene Anstalt	2	"Inhaber: St. Georgsverein, Luzern;
Leitung: Verein der Schulbrüder, Knutwil-Bad"	120	4	120		1	nur männliche Jugendliche und Knaben, davon 100 im Sinne des StGB	1	0	"Minimal 1 Jahr, maximal 3 Jahre;
Aufnahmealter minimal 12 Jahre, maximal 19 Jahre;
25–30 Zöglinge von den andern getrennt gehalten wegen Gemeingefährlichkeit"	1	4	11				Vormundschaftsbehörden	Jugendgerichte	Jugendanwaltschaften											Katholisch	2	Hauptamtlicher Anstaltspfarrer	"Im Hause, Besuch obligatorisch;
6 mal pro Woche (inkl. Sonntag)"
LU05	LU	St. Urban	Kantonale Heil- und Pflegeanstalt St. Urban		"Heil- und Pflegeanstalt;
Vom Kanton benützte Anstalt für die Internierung von Unzurechenfähigen nach Art. 14/15 StGB;
Angeschlossen: Uebergangsheim Berghof"	6				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		700	6	300	400	3		1	1	"Für Internierte nach StGB in der Regel nur, wenn mit psychiatrischer Behandlung verbunden und nur für Kantonsbürger;
Internierte nach StGB werden von den andern Patienten nicht getrennt gehalten."	1	6	10				Gerichte	Administrativbehörden	Vormundschaften											Interkonfessionell	3	"Katholischer Anstaltspfarrer im Hauptamt;
reformierter Pfarrer aus Roggwil im Nebenamt"	"Im Hause, Besuch freiwillig;
Katholiken: täglich;
Reformierte; nur an Feiertagen"
LU09	LU	Luzern	Zentralgefängnis des Kantons Luzern		"a) Untersuchungsgefängnis;
b) Polizei-, Haft- und Gefängnisstrafen;
c) Zuchthaus (Ausnahmefälle)"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		54	3			3	Männer und Frauen	1	1	Nach Weisung	1	7	8	11			Statthalteramt	Amtsgericht	Polizei	Kriminalgericht	Obergericht	Strafvollzugsbehörde								Interkonfessionell	3	Katholischer Ortspfarrer und reformierter Pfarrer aus Malters, beide im Nebenamt	Keine
LU10	LU	Hochdorf	Amtsgefängnis Hochdorf		"a) Untersuchungsgefängnis;
b) Polizei-, Haft- und Gefängnisstrafen bis zu 20 Tagen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		12	1			3	Männer und Frauen	1	1	"a) ohne Limite, nach Verfahren;
b) 20 Tage, evtl. länger, wenn Weisung der kantonalen Behörde"	11						Amtsstatthalter als Untersuchungsrichter													Interkonfessionell	3	Auf Wunsch katholischer und reformierter Ortspfarrer	Keine Gottesdienstmöglichkeit
LU11	LU	Schüpfheim	Amtsgefängnis Entlebuch		"a) Untersuchungsgefängnis;
b) Polizei-, Haft- und Gefängnisstrafen von kurzer Dauer"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		9	1			3	Männer und Frauen	1	1	"a) ohne Limite, nach Verfügung;
b) kurzfristig"	8						Polizei des Amtes Entlebuch													Interkonfessionell	3	Auf Wunsch katholischer und reformierter Ortspfarrer	Keine Gottesdienstmöglichkeit
LU12	LU	Sursee	Amtsgefängnis Sursee		"a) Untersuchungsgefängnis;
b) Polizei-, Haft- und Gefängnisstrafen bis zu 20 Tagen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		12	1			3	Männer und Frauen	1	1	"a) ohne Limite, nach Weisung des Amtsstatthalters;
b) maximal 20 Tage"	11						Amtsstatthalter von Sursee	Amtsstatthalter von Sursee als Strafvollzugsbehörde												Interkonfessionell	3	Auf Wunsch katholsicher und reformierter Ortspfarrer, ausserdem Kapuziner aus Sursee	Keine Gottesdienstmöglichkeit
LU13	LU	Willisau	Amtsgefängnis Willisau		"a) Untersuchungsgefängnis;
b) Polizei-, Haft- und Gefängnisstrafen von kurzer Dauer"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1			7			3	einige wenige Zellen	1	1	"a) ohne Limite, nach Weisung;
b) kurzfristig"	11						Amtsstatthalter als Untersuchungsrichter													Interkonfessionell	3	Auf Wunsch katholischer und reformierter Ortspfarrer	Keine Gottesdienstmöglichkeit
NE01	NE	St. Aubin	Colonie agricole et industrielle Le Devens		Heilstätte für Alkoholkranke	2	4			#REF!	1	0	0	Private, offene Anstalt	2	Inhaber und Leitung: Heilsarmee	50	3			4				Minimal 6 Monate	1	9	10				Vormundschaftsbehörden	Fürsorgeämter	Gerichte	Kantons- und Administrativbehörden von Genf										Interkonfessionell	3	Reformierter Pfarrer aus St. Aubin und Heilsarmee	"Im Hause, Besuch freiwillig;
4 mal wöchentlich durch die Heilsarmee"
NE02	NE	Boudry	Maison de Pontareuse		Heilstätte für Alkoholkranke	4				#REF!	1	0	0	Private, offene Anstalt	2	Inhaber: Stiftung Maison de Pontareuse, Boudry	22	2	22		1		1	0	Minimal 1 Jahr	6	14					Private	Administrativbehörden	Trinkerfürsorgestellen des Kantons Genf	Trinkerfürsorgestellen des Kantons Waadt	Trinkerfürsorgestellen des Kantons Neuenburg									"Interkonfessionell;
Leitung reformiert"	3	Durch Heimleiter	"Sonntags freiwilliger Kirchgang nach Boudry oder Colombier;
ausserdem während der Woche Andacht durch den Heimleiter im Hause"
NE03	NE	Marin	Institut Bellevue	"Etablissement Bellevue-Marin;
Institut Bellevue-Marin"	Nacherziehung weiblicher Jugendlicher	3				#REF!	1	0	0	Private, offene Anstalt	2	"Inhaber: Association suisse pour la réforme pénitentiaire et la patronage des détenus libérés;
Komitee-Präsident: Dir. H. Kellerhals, Witzwil"	30	2		30	2	nur weibliche Jugendliche	0	1	Ca. 1 Jahr, bei Ausnahmen elastisch	4	7					Strafvollzugsbehörden	Jugendanwaltschaften												Interkonfessionell	3	"Reformierter Pfarrer aus Gampelen (deutsch);
reformierter Pfarrer aus St. Blaise (franz.);
katholischer Pfarrer aus St. Blaise"	Jeden Sonntag für beide Konfessionen freiwilliger Kirchgang nach Gampelen oder St. Blaise
NE04	NE	La Chaux-de-fonds	Prison Centrale de  La Chaux-de-fonds		"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 2 Monaten"	5				#REF!					4		40	2			3	Männer und Frauen	1	1	"a) ohne Limite, nach Verfügung;
b) maximal 2 Monate"	1	2	7	8			Untersuchungsrichter	Strafgericht	Polizeigericht	Strafvollzugsbehörde										Interkonfessionell	3	"Reformierter Anstaltspfarrer im Hauptamt;
katholischer Anstaltspfarrer im Nebenamt
"	"Reformierte: 2–3 mal monatlich;
Katholiken: keine"
NE05	NE	Neuenburg	Prison Centrale de Neuchâtel		"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 2 Monaten"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		40	2			3	Männer und Frauen	1	1	"a) ohne Limite, nach Verfügung;
b) maximal 2 Monate"	1	2	7	8			Untersuchungsrichter	Gerichte	Polizeigericht	Strafvollzugsbehörde										Interkonfessionell	3	Reformierter Pfarrer der kantonalen Patronage und katholischer Pfarrer aus Colombier, beide im Nebenamt	"Reformierte: 2 mal monatlich;
Katholiken: keine"
NE06	NE	Boudry	Prison auxiliaire du district de Boudry		"a) Untersuchungsgefangenschaft;
b) Vollzug von Haftstrafen bis zu 5 Tagen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		10	1			3	Männer und Frauen	1	1	"a) Nach Weisung des Untersuchungsbeamten. Bei längeren Untersuchungen erfolgt gewöhnlich Ueberweisung in das Zentralgefängnis von Neuenburg oder La Chaux-de-Fonds;
b) nach Einweisungsverfügung"	8	11					Untersuchungsbeamter	Bezirksamt												Interkonfessionell	3	Auf Wunsch reformierter und katholischer Ortspfarrer	Keine Gottesdienstmöglichkeiten
NE07	NE	Cernier	Prison auxiliaire du district du Val-de-Ruz		"a) Untersuchungsgefangenschaft;
b) Vollzug von Haftstrafen bis zu 5 Tagen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		4	1			3	Männer und Frauen	1	1	"a) Nach Weisung des Untersuchungsbeamten. Bei längeren Untersuchungen erfolgt gewöhnlich Ueberweisung in das Zentralgefängnis von Neuenburg oder La Chaux-de-Fonds;
b) nach Einweisungsverfügung"	8	11					Untersuchungsbeamter	Bezirksamt												Interkonfessionell	3	Auf Wunsch reformierter und katholischer Ortspfarrer	Keine Gottesdienstmöglichkeiten
NE08	NE	Le Locle	Prison auxiliaire du district du Locle		"a) Untersuchungsgefangenschaft;
b) Vollzug von Haftstrafen bis zu 5 Tagen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		10	1			3	Männer und Frauen	1	1	"a) Nach Weisung des Untersuchungsbeamten. Bei längeren Untersuchungen erfolgt gewöhnlich Ueberweisung in das Zentralgefängnis von Neuenburg oder La Chaux-de-Fonds;
b) nach Einweisungsverfügung"	8	11					Untersuchungsbeamter	Bezirksamt												Interkonfessionell	3	Auf Wunsch reformierter und katholischer Ortspfarrer	Keine Gottesdienstmöglichkeiten
NE09	NE	Môtiers	Prison auxiliaire du district du Val-de-Travers		"a) Untersuchungsgefangenschaft;
b) Vollzug von Haftstrafen bis zu 5 Tagen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		6	1			3	Männer und Frauen	1	1	"a) Nach Weisung des Untersuchungsbeamten. Bei längeren Untersuchungen erfolgt gewöhnlich Ueberweisung in das Zentralgefängnis von Neuenburg oder La Chaux-de-Fonds;
b) nach Einweisungsverfügung"	8	11					Untersuchungsbeamter	Bezirksamt												Interkonfessionell	3	Auf Wunsch reformierter und katholischer Ortspfarrer	Keine Gottesdienstmöglichkeiten
OW02	OW	Sarnen	Kantonale Strafanstalt Obwalden		"a) Untersuchungsgefängnis;
b) Vollzug von Polizei-, Haft- und Gefängnisstrafen, Zuchthaus, Verwahrung.
Die Strafanstalt Obwalden in Sarnen beherbergt die Untersuchungsgefangenen und die gerichtlich Verurteilten aller Kategorien. Die Anstalt dient auch als Verwahrungsanstalt und für administrative Versorgungen. Arbeitsscheue und Flottanten werden von den Gemeinden oft für längere oder kürzere Zeit dort interniert, für die dann die Strafanstalt als ""Zwangsarbeitsanstalt"" zu dienen hat. Die von auswärts heimgeschafften Kantonsbürger werden meistens ebenfalls in die Anstalt eingeliefert und bleiben dort solange, bis die avisierten Gemeindebehörden ihre Verfügungen getroffen haben."	5				#REF!	1	0	0	Staatliche, offene Anstalt	1		35	2			3	Männer und Frauen	1	1	"a) ohne Limite, nach Verfügung;
b) keine"	2	7	8				Untersuchungsrichter	Strafanstaltsdirektion	Polizeidirektion als Strafvollzugsbehörde											Interkonfessionell	3	"Kapuziner vom Kapuzinerkloster Sarnen im Nebenamt;
reformierter Pfarrer aus Alpnachdorf im Nebenamt"	"Katholiken: jeden Sonntag freiwilliger Besuch des Gottesdienstes im benachbarten Kantonsspital, ausserdem an Sonntagnachmittagen Predigt oder Zusammenkünfte im Hause;
Reformierte: keine"
SG01	SG	Mosnang	Kantonale Arbeitserziehungsanstalt Bitzi		"Arbeitserziehungsanstalt;
Beherbergt auch administrativ Eingewiesene, wie Arbeitsscheue;
Getrennte Abteilungen:
a) Beobachtungsstation für 18 bis 20-jährige;
b) Anstalt für Zwangsversorgte;
c) Alpbetrieb für Gebesserte"	1				#REF!	0	1	0	Staatliche, halboffene Anstalt	1		80	3	80		1	80 Bitzi und Alpbetrieb	1	0	Nach Einweisungsverfügung	1	5	6				Gerichte	Regierungsrat	Gemeinden											Interkonfessionell	3	"Reformierter Pfarrer aus Wil;
katholischer Pfarrer aus Mosnang;
Heilsarmee, alle im Nebenamt"	"Jeden Sonntag der Gemeindegottesdienst;
Reformierte: Bütschwil;
Katholiken: Mosnang"
SG02	SG	Tübach	Pension Mühlhof	Trinkerheilstätte Mühlhof	"Heilstätte für alkoholkranke Männer;
Von verschiedenen Kantonen benutzte Anstalt für die Verwahrung von Gewohnheitstrinkern nach Art. 44 StGB."	4				#REF!	1	0	0	Private, offene Anstalt	2		45	2	45		1		1	0	"Minimal 1 Jahr;
Internierte nach StGB werden von den anderen Insassen nicht getrennt gehalten."	7						Justizdepartement des Kantons für administrative Einweisungen													Interkonfessionell	3	"Katholischer Pfarrer von Tübach und Horn;
reformierter Pfarrer aus Goldach, alle im Nebenamt"	"Freiwilliger Kirchgang in die Kirchen der Umgebung;
Katholiken: nach Tübach;
Reformierte: nach Goldach"
